Date,Open,High,Low,Close,Adj Close,Volume
8/28/2023,2764.649902,2790.949951,2681.800049,2736.550049,2687.677979,54611
9/4/2023,2730,2778,2667,2707.449951,2659.097412,47045
9/11/2023,2721,2766.949951,2574.050049,2595.300049,2548.950439,77925
9/18/2023,2630.899902,2638.949951,2494.949951,2520.100098,2475.093506,76388
9/25/2023,2545,2567,2427,2508.600098,2463.798828,97665
10/2/2023,2508.600098,2567.699951,2485.399902,2507.850098,2463.062256,70187
10/9/2023,2473,2512.5,2455,2481.899902,2437.575439,47220
10/16/2023,2471.899902,2505,2426,2441.850098,2398.240967,51941
10/23/2023,2463.649902,2496.600098,2359.649902,2421.350098,2378.107178,53052
10/30/2023,2441.350098,2524,2356.100098,2442.550049,2398.928467,132138
11/6/2023,2445,2473,2412.050049,2452.699951,2408.896973,53890
11/13/2023,2467.149902,2510.050049,2425.199951,2481.100098,2436.790039,46905
11/20/2023,2485,2520,2442.5,2476.550049,2432.321289,48139
11/27/2023,2476.550049,2498,2441,2481.550049,2437.231934,51033
12/4/2023,2500,2655.899902,2454.550049,2561.649902,2515.901367,115812
12/11/2023,2561,2575,2500,2554.25,2508.633545,65443
12/18/2023,2567,2635,2504.949951,2565.850098,2520.026367,114908
12/25/2023,2565.850098,2645,2529.949951,2607.449951,2560.883301,52748
1/1/2024,2607.449951,2671.399902,2575.149902,2659,2611.512695,79046
1/8/2024,2658.899902,2749,2566.800049,2661.5,2613.968262,54395
1/15/2024,2653,2741,2636.550049,2696.100098,2647.950439,69990
1/22/2024,2696.100098,2696.100098,2567.100098,2594.75,2548.410156,74677
1/29/2024,2594.75,2699.949951,2584.649902,2682.5,2634.593018,90435
2/5/2024,2682.5,3058,2680,2875.899902,2824.539063,420003
2/12/2024,2890.300049,2930,2705.550049,2840.449951,2789.722168,92563
2/19/2024,2848.5,2853.800049,2721.050049,2733.600098,2733.600098,49704
2/26/2024,2750.050049,2753.949951,2487.149902,2496.75,2496.75,92021
3/4/2024,2540.600098,2540.649902,2413.25,2418.699951,2418.699951,68363
3/11/2024,2428.600098,2448.25,2267,2394.899902,2394.899902,136161
3/18/2024,2390,2494,2377.699951,2462.5,2462.5,58103
3/25/2024,2469.899902,2469.899902,2365,2384.699951,2384.699951,43782
